metric,n_components,regress_out_volume,n_neighbors,min_dist,trustworthiness
dice,2,False,5,0.1,0.9448114664571636
dice,2,False,5,0.25,0.9429313047310632
dice,2,False,15,0.0,0.9453585758905476
dice,2,False,15,0.1,0.9428653879318604
dice,2,False,15,0.25,0.9429147488838217
dice,2,False,30,0.0,0.9407698468967368
dice,2,False,30,0.1,0.939533983559124
dice,2,False,30,0.25,0.9367317531185928
dice,2,False,50,0.0,0.9339179489144808
dice,2,False,50,0.1,0.9342874662272214
dice,2,False,50,0.25,0.9225597179374174
dice,2,False,100,0.0,0.9292232931572996
dice,2,False,100,0.1,0.924448924061548
dice,2,False,100,0.25,0.9147993944852166
euclidean,5,False,5,0.0,0.7528664226723131
euclidean,5,False,5,0.1,0.75593760898308
euclidean,5,False,5,0.25,0.762845153007454
euclidean,5,False,15,0.0,0.755599670416004
euclidean,5,False,15,0.1,0.7582599497959261
euclidean,5,False,15,0.25,0.7596035027880507
euclidean,5,False,30,0.0,0.751911165615958
euclidean,5,False,30,0.1,0.7616822580336099
euclidean,5,False,30,0.25,0.7654678751413188
euclidean,5,False,50,0.0,0.7525142276812233
euclidean,5,False,50,0.1,0.757318795868703
euclidean,5,False,50,0.25,0.7615208385230039
euclidean,5,False,100,0.0,0.746969705098971
euclidean,5,False,100,0.1,0.7513016651656543
euclidean,5,False,100,0.25,0.7587577749247897
euclidean,5,True,5,0.0,0.7623690957518157
euclidean,5,True,5,0.1,0.7681731465690689
euclidean,5,True,5,0.25,0.7640941997049073
euclidean,5,True,15,0.0,0.766585624772453
euclidean,5,True,15,0.1,0.7651968497901777
euclidean,5,True,15,0.25,0.7720656102094392
euclidean,5,True,30,0.0,0.7651510912679403
euclidean,5,True,30,0.1,0.762460919386054
euclidean,5,True,30,0.25,0.7689515779791902
euclidean,5,True,50,0.0,0.7589306915515358
euclidean,5,True,50,0.1,0.7621577787571617
euclidean,5,True,50,0.25,0.7625279092494299
euclidean,5,True,100,0.0,0.7590035066204227
euclidean,5,True,100,0.1,0.749904842202081
euclidean,5,True,100,0.25,0.757004847950639
euclidean,10,False,5,0.0,0.7522587617605917
euclidean,10,False,5,0.1,0.7576379558127503
euclidean,10,False,5,0.25,0.7651466457163661
euclidean,10,False,15,0.0,0.7548798742981969
euclidean,10,False,15,0.1,0.7589017188188629
euclidean,10,False,15,0.25,0.7678023262498324
euclidean,10,False,30,0.0,0.7535721156609884
euclidean,10,False,30,0.1,0.7591971180562209
euclidean,10,False,30,0.25,0.7682576886964186
euclidean,10,False,50,0.0,0.7546275509226436
euclidean,10,False,50,0.1,0.7596251173663939
euclidean,10,False,50,0.25,0.7655030563167072
euclidean,10,False,100,0.0,0.7492659857818997
euclidean,10,False,100,0.1,0.7559918753712611
euclidean,10,False,100,0.25,0.7635923889091153
euclidean,10,True,5,0.0,0.7718095311092801
euclidean,10,True,5,0.1,0.773964857148332
euclidean,10,True,5,0.25,0.7740372123325733
euclidean,10,True,15,0.0,0.7761121352060858
euclidean,10,True,15,0.1,0.776482265698354
euclidean,10,True,15,0.25,0.7763435338302642
euclidean,10,True,30,0.0,0.7725931745453849
euclidean,10,True,30,0.1,0.7758649472090751
euclidean,10,True,30,0.25,0.7771231149519996
euclidean,10,True,50,0.0,0.7733169563301205
euclidean,10,True,50,0.1,0.7749509264759423
euclidean,10,True,50,0.25,0.779596221281162
euclidean,10,True,100,0.0,0.764800659167992
euclidean,10,True,100,0.1,0.7689051296299845
euclidean,10,True,100,0.25,0.7717210033150018
